Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
123992-111311,WR,Rashee,Rashee Rice,Rice,18.766666412353516,6,13200,19800,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-57439,QB,Patrick,Patrick Mahomes,Mahomes,23.27666727701823,12,12800,19200,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-91419,WR,Nico,Nico Collins,Collins,13.227272727272727,11,12000,18000,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-129471,QB,C.J.,C.J. Stroud,Stroud,15.446667141384548,9,11400,17100,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-33076,TE,Travis,Travis Kelce,Kelce,11.125,12,10400,15600,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-45229,RB,Kareem,Kareem Hunt,Hunt,9.908333460489908,12,9600,14400,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-138774,RB,Woody,Woody Marks,Marks,8.366666793823242,12,8800,13200,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-158974,WR,Xavier,Xavier Worthy,Worthy,7.219999694824219,10,8200,12300,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-89628,QB,Davis,Davis Mills,Mills,13.391999816894531,5,8000,12000,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-61798,QB,Gardner,Gardner Minshew II,Minshew II,-0.30000001192092896,2,8000,12000,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-147315,WR,Jayden,Jayden Higgins,Higgins,6.325000127156575,12,7400,11100,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-92575,RB,Isiah,Isiah Pacheco,Pacheco,6.555555555555555,9,7000,10500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-12556,D,Houston,Houston Texans,Texans,9.833333333333334,12,6800,10200,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,11.6,10,6600,9900,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-12536,D,Kansas City,Kansas City Chiefs,Chiefs,5.333333333333333,12,6400,9600,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-41642,K,Harrison,Harrison Butker,Butker,8.333333333333334,12,6200,9300,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-55042,TE,Dalton,Dalton Schultz,Schultz,7.558333079020183,12,5800,8700,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-86687,WR,Hollywood,Hollywood Brown,Brown,8.033333460489908,12,5400,8100,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-60858,WR,Christian,Christian Kirk,Kirk,5.185714176722935,7,4800,7200,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-53562,RB,Nick,Nick Chubb,Chubb,6.391666412353516,12,4400,6600,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-152007,WR,Jaylin,Jaylin Noel,Noel,3.183333396911621,12,4000,6000,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-89220,WR,Tyquan,Tyquan Thornton,Thornton,6.270000076293945,10,3600,5400,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,5.700000069358132,11,3200,4800,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-155775,RB,Brashard,Brashard Smith,Smith,2.8583332697550454,12,2600,3900,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,4.44545468417081,11,2400,3600,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-93143,TE,Noah,Noah Gray,Gray,2.1200000762939455,10,2000,3000,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-111637,TE,Cade,Cade Stover,Stover,2.366666634877523,3,1800,2700,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-86055,RB,Dameon,Dameon Pierce,Pierce,0.6499999761581421,4,1600,2400,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-52495,WR,Braxton,Braxton Berrios,Berrios,1.6749999523162842,4,1400,2100,HOU@KC,HOU,KC,NA,Coach's decision,,,,MVP - 1.5X Points/AnyFLEX
123992-28827,RB,Dare,Dare Ogunbowale,Ogunbowale,0.8428571564810616,7,1400,2100,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-91481,WR,Nikko,Nikko Remigio,Remigio,0.3083333373069763,12,1200,1800,HOU@KC,KC,HOU,NA,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
123992-80353,TE,Robert,Robert Tonyan,Tonyan,0.6000000238418579,1,1200,1800,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-92413,RB,Elijah,Elijah Mitchell,Mitchell,0,1,1200,1800,HOU@KC,KC,HOU,NA,Coach's decision,,,,MVP - 1.5X Points/AnyFLEX
123992-92545,RB,Keaontay,Keaontay Ingram,Ingram,0,1,1000,1500,HOU@KC,KC,HOU,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
123992-83083,WR,Justin,Justin Watson,Watson,2.25,2,1000,1500,HOU@KC,HOU,KC,IR,Achilles,,,,MVP - 1.5X Points/AnyFLEX
123992-103308,RB,Jawhar,Jawhar Jordan,Jordan,,0,1000,1500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-94094,TE,Brevin,Brevin Jordan,Jordan,0.8500000238418579,2,1000,1500,HOU@KC,HOU,KC,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
123992-138643,WR,Jason,Jason Brownlee,Brownlee,0,1,1000,1500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-71957,WR,Quintez,Quintez Cephus,Cephus,,0,1000,1500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-103192,TE,Jared,Jared Wiley,Wiley,0.8999999761581421,1,1000,1500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
