Name,Position,Team,Salary,FPPG,Source
PHI QB1,QB,PHI,7500,18.0,Estimated
PHI RB1,RB,PHI,6500,12.0,Estimated
PHI RB2,RB,PHI,5500,10.0,Estimated
PHI RB3,RB,PHI,4500,8.0,Estimated
PHI WR1,WR,PHI,6000,12.0,Estimated
PHI WR2,WR,PHI,5000,10.0,Estimated
PHI WR3,WR,PHI,4000,8.0,Estimated
PHI TE,TE,PHI,5500,8.0,Estimated
PHI K,K,PHI,4500,7.0,Estimated
PHI DST,DST,PHI,4500,7.0,Estimated
WAS QB1,QB,WAS,7500,18.0,Estimated
WAS RB1,RB,WAS,6500,12.0,Estimated
WAS RB2,RB,WAS,5500,10.0,Estimated
WAS RB3,RB,WAS,4500,8.0,Estimated
WAS WR1,WR,WAS,6000,12.0,Estimated
WAS WR2,WR,WAS,5000,10.0,Estimated
WAS WR3,WR,WAS,4000,8.0,Estimated
WAS TE,TE,WAS,5500,8.0,Estimated
WAS K,K,WAS,4500,7.0,Estimated
WAS DST,DST,WAS,4500,7.0,Estimated
BAL QB1,QB,BAL,7500,18.0,Estimated
BAL RB1,RB,BAL,6500,12.0,Estimated
BAL RB2,RB,BAL,5500,10.0,Estimated
BAL RB3,RB,BAL,4500,8.0,Estimated
BAL WR1,WR,BAL,6000,12.0,Estimated
BAL WR2,WR,BAL,5000,10.0,Estimated
BAL WR3,WR,BAL,4000,8.0,Estimated
BAL TE,TE,BAL,5500,8.0,Estimated
BAL K,K,BAL,4500,7.0,Estimated
BAL DST,DST,BAL,4500,7.0,Estimated
BUF QB1,QB,BUF,7500,18.0,Estimated
BUF RB1,RB,BUF,6500,12.0,Estimated
BUF RB2,RB,BUF,5500,10.0,Estimated
BUF RB3,RB,BUF,4500,8.0,Estimated
BUF WR1,WR,BUF,6000,12.0,Estimated
BUF WR2,WR,BUF,5000,10.0,Estimated
BUF WR3,WR,BUF,4000,8.0,Estimated
BUF TE,TE,BUF,5500,8.0,Estimated
BUF K,K,BUF,4500,7.0,Estimated
BUF DST,DST,BUF,4500,7.0,Estimated
DET QB1,QB,DET,7500,18.0,Estimated
DET RB1,RB,DET,6500,12.0,Estimated
DET RB2,RB,DET,5500,10.0,Estimated
DET RB3,RB,DET,4500,8.0,Estimated
DET WR1,WR,DET,6000,12.0,Estimated
DET WR2,WR,DET,5000,10.0,Estimated
DET WR3,WR,DET,4000,8.0,Estimated
DET TE,TE,DET,5500,8.0,Estimated
DET K,K,DET,4500,7.0,Estimated
DET DST,DST,DET,4500,7.0,Estimated
GB QB1,QB,GB,7500,18.0,Estimated
GB RB1,RB,GB,6500,12.0,Estimated
GB RB2,RB,GB,5500,10.0,Estimated
GB RB3,RB,GB,4500,8.0,Estimated
GB WR1,WR,GB,6000,12.0,Estimated
GB WR2,WR,GB,5000,10.0,Estimated
GB WR3,WR,GB,4000,8.0,Estimated
GB TE,TE,GB,5500,8.0,Estimated
GB K,K,GB,4500,7.0,Estimated
GB DST,DST,GB,4500,7.0,Estimated
TEN QB1,QB,TEN,7500,18.0,Estimated
TEN RB1,RB,TEN,6500,12.0,Estimated
TEN RB2,RB,TEN,5500,10.0,Estimated
TEN RB3,RB,TEN,4500,8.0,Estimated
TEN WR1,WR,TEN,6000,12.0,Estimated
TEN WR2,WR,TEN,5000,10.0,Estimated
TEN WR3,WR,TEN,4000,8.0,Estimated
TEN TE,TE,TEN,5500,8.0,Estimated
TEN K,K,TEN,4500,7.0,Estimated
TEN DST,DST,TEN,4500,7.0,Estimated
MIA QB1,QB,MIA,7500,18.0,Estimated
MIA RB1,RB,MIA,6500,12.0,Estimated
MIA RB2,RB,MIA,5500,10.0,Estimated
MIA RB3,RB,MIA,4500,8.0,Estimated
MIA WR1,WR,MIA,6000,12.0,Estimated
MIA WR2,WR,MIA,5000,10.0,Estimated
MIA WR3,WR,MIA,4000,8.0,Estimated
MIA TE,TE,MIA,5500,8.0,Estimated
MIA K,K,MIA,4500,7.0,Estimated
MIA DST,DST,MIA,4500,7.0,Estimated
KC QB1,QB,KC,7500,18.0,Estimated
KC RB1,RB,KC,6500,12.0,Estimated
KC RB2,RB,KC,5500,10.0,Estimated
KC RB3,RB,KC,4500,8.0,Estimated
KC WR1,WR,KC,6000,12.0,Estimated
KC WR2,WR,KC,5000,10.0,Estimated
KC WR3,WR,KC,4000,8.0,Estimated
KC TE,TE,KC,5500,8.0,Estimated
KC K,K,KC,4500,7.0,Estimated
KC DST,DST,KC,4500,7.0,Estimated
LAC QB1,QB,LAC,7500,18.0,Estimated
LAC RB1,RB,LAC,6500,12.0,Estimated
LAC RB2,RB,LAC,5500,10.0,Estimated
LAC RB3,RB,LAC,4500,8.0,Estimated
LAC WR1,WR,LAC,6000,12.0,Estimated
LAC WR2,WR,LAC,5000,10.0,Estimated
LAC WR3,WR,LAC,4000,8.0,Estimated
LAC TE,TE,LAC,5500,8.0,Estimated
LAC K,K,LAC,4500,7.0,Estimated
LAC DST,DST,LAC,4500,7.0,Estimated
SF QB1,QB,SF,7500,18.0,Estimated
SF RB1,RB,SF,6500,12.0,Estimated
SF RB2,RB,SF,5500,10.0,Estimated
SF RB3,RB,SF,4500,8.0,Estimated
SF WR1,WR,SF,6000,12.0,Estimated
SF WR2,WR,SF,5000,10.0,Estimated
SF WR3,WR,SF,4000,8.0,Estimated
SF TE,TE,SF,5500,8.0,Estimated
SF K,K,SF,4500,7.0,Estimated
SF DST,DST,SF,4500,7.0,Estimated
DAL QB1,QB,DAL,7500,18.0,Estimated
DAL RB1,RB,DAL,6500,12.0,Estimated
DAL RB2,RB,DAL,5500,10.0,Estimated
DAL RB3,RB,DAL,4500,8.0,Estimated
DAL WR1,WR,DAL,6000,12.0,Estimated
DAL WR2,WR,DAL,5000,10.0,Estimated
DAL WR3,WR,DAL,4000,8.0,Estimated
DAL TE,TE,DAL,5500,8.0,Estimated
DAL K,K,DAL,4500,7.0,Estimated
DAL DST,DST,DAL,4500,7.0,Estimated
NYG QB1,QB,NYG,7500,18.0,Estimated
NYG RB1,RB,NYG,6500,12.0,Estimated
NYG RB2,RB,NYG,5500,10.0,Estimated
NYG RB3,RB,NYG,4500,8.0,Estimated
