"PLAYER NAME","OPP","KICKOFF","WX","SPREAD","O/U","PRED SCORE","PROJ RANK","$ RANK","RANK DIFF","PROJ PTS","SALARY","CPP","PROJ ROSTER %"
"Lamar Jackson (BAL - QB)","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","23.7","$8,600","$362","0%-"
"Josh Allen (BUF - QB)","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","23.1","$8,700","$377","0%-"
"Saquon Barkley (PHI - RB)","DAL","Thu 8:20PM","","PHI -7","46.5","27","0","0","0","22.2","$14,400","$649","1-5%-"
"Jalen Hurts (PHI - QB)","DAL","Thu 8:20PM","","PHI -7","46.5","27","0","0","0","22.2","$12,200","$551","10-20%-"
"Jayden Daniels (WAS - QB)","NYG","Sun 1:00PM","","WAS -6","45.5","26","1","1","0","22.1","$8,500","$384","0%-"
"Joe Burrow (CIN - QB)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","2","2","0","21.2","$8,000","$378","10-20%-"
"Baker Mayfield (TB - QB)","@ATL","Sun 1:00PM","","TB -1.5","47.5","24.5","3","3","0","20.0","$7,900","$396","5-10%-"
"Patrick Mahomes II (KC - QB)","@LAC","Fri 8:00PM","","KC -3","46.5","25","0","0","0","19.6","$7,700","$394","5-10%-"
"Bo Nix (DEN - QB)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","4","8","4","19.4","$7,400","$381","0%-"
"Kyler Murray (ARI - QB)","@NO","Sun 1:00PM","","ARI -6.5","43.5","25","5","5","0","19.3","$7,700","$398","0%-"
"Trevor Lawrence (JAC - QB)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","6","15","9","18.2","$7,000","$385","0%-"
"Ja'Marr Chase (CIN - WR)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","1","1","0","17.8","$9,200","$517","20-30%-"
"Drake Maye (NE - QB)","LV","Sun 1:00PM","","NE -2.5","43.5","23","7","24","17","17.6","$6,600","$374","1-5%-"
"Bijan Robinson (ATL - RB)","TB","Sun 1:00PM","","TB -1.5","47.5","23","1","1","0","17.6","$8,800","$500","10-20%"
"Brock Purdy (SF - QB)","@SEA","Sun 4:05PM","","SF -2","43.5","23","8","17","9","17.5","$6,900","$395","0%-"
"Christian McCaffrey (SF - RB) Q","@SEA","Sun 4:05PM","","SF -2","43.5","23","2","5","3","17.2","$8,100","$471","0%"
"Jordan Love (GB - QB)","DET","Sun 4:25PM","","GB -2","47","24.5","9","6","-3","17.0","$7,600","$446","0%-"
"Justin Fields (NYJ - QB)","PIT","Sun 1:00PM","","PIT -3","38","17.5","10","10","0","17.0","$7,200","$424","0%-"
"Dak Prescott (DAL - QB)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","0","0","0","16.9","$10,800","$638","5-10%-"
"Justin Herbert (LAC - QB)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","16.7","$7,300","$438","1-5%-"
"Jared Goff (DET - QB)","@GB","Sun 4:25PM","","GB -2","47","22.5","11","4","-7","16.6","$7,800","$470","0%-"
"Caleb Williams (CHI - QB)","MIN","Mon 8:15PM","","MIN -1.5","44","21.5","0","0","0","16.6","$6,800","$410","0%-"
"Jahmyr Gibbs (DET - RB)","@GB","Sun 4:25PM","","GB -2","47","22.5","3","2","-1","16.5","$8,700","$527","0%"
"C.J. Stroud (HOU - QB)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","12","11","-1","16.5","$7,200","$436","0%-"
"Tua Tagovailoa (MIA - QB)","@IND","Sun 1:00PM","","IND -1.5","46.5","22.5","13","9","-4","16.4","$7,300","$445","0%-"
"Bryce Young (CAR - QB)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","14","20","6","16.4","$6,800","$414","0%-"
"J.J. McCarthy (MIN - QB)","@CHI","Mon 8:15PM","","MIN -1.5","44","23","0","0","0","16.4","$6,700","$408","0%-"
"Michael Penix Jr. (ATL - QB)","TB","Sun 1:00PM","","TB -1.5","47.5","23","15","22","7","16.3","$6,700","$411","1-5%-"
"Derrick Henry (BAL - RB)","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","16.2","$8,900","$549","0%-"
"Jonathan Taylor (IND - RB)","MIA","Sun 1:00PM","","IND -1.5","46.5","24","4","3","-1","16.1","$8,300","$515","0%"
"Justin Jefferson (MIN - WR)","@CHI","Mon 8:15PM","","MIN -1.5","44","23","0","0","0","16.1","$8,800","$545","0%-"
"Daniel Jones (IND - QB)","MIA","Sun 1:00PM","","IND -1.5","46.5","24","16","16","0","16.0","$6,900","$432","0%-"
"Chase Brown (CIN - RB)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","5","13","8","16.0","$6,900","$430","20-30%"
