Lineup,QB,RB,RB2,WR,WR2,WR3,TE,FLEX,D,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),A.Brown (00-0035676),X.Worthy (00-0039894),N.Gray (00-0036637),,Baltimore Ravens Defense (DST_BAL),59912,156.37,199.7,0.41
2,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),J.Dotson (00-0037741),X.Worthy (00-0039894),N.Gray (00-0036637),,Baltimore Ravens Defense (DST_BAL),59922,155.87,199.7,0.393
3,M.Stafford (00-0026498),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),J.Williams (00-0037240),X.Worthy (00-0039894),N.Gray (00-0036637),,Baltimore Ravens Defense (DST_BAL),59981,155.59,199.9,0.41
4,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),J.Williams (00-0037240),X.Worthy (00-0039894),K.Coleman (00-0039901),N.Gray (00-0036637),,Baltimore Ravens Defense (DST_BAL),59970,154.9,199.9,0.41
5,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),J.Williams (00-0037240),X.Worthy (00-0039894),K.Coleman (00-0039901),B.Sinnott (00-0039912),,Baltimore Ravens Defense (DST_BAL),59998,154.9,200.0,0.41
6,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),K.Shakir (00-0037261),X.Worthy (00-0039894),B.Sinnott (00-0039912),,Atlanta Falcons Defense (DST_ATL),59984,154.25,199.9,0.41
7,J.Hurts (00-0036389),D.Henry (00-0032764),J.Gibbs (00-0039139),J.Smith-Schuster (00-0033857),A.Brown (00-0035676),X.Worthy (00-0039894),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59990,153.77,200.0,0.28
8,J.Hurts (00-0036389),D.Henry (00-0032764),J.Gibbs (00-0039139),A.Brown (00-0035676),X.Worthy (00-0039894),K.Coleman (00-0039901),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59934,153.77,199.8,0.41
9,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Shakir (00-0037261),J.Dotson (00-0037741),X.Worthy (00-0039894),B.Sinnott (00-0039912),,Atlanta Falcons Defense (DST_ATL),59994,153.75,200.0,0.515
10,L.Jackson (00-0034796),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),J.Williams (00-0037240),X.Worthy (00-0039894),N.Gray (00-0036637),,Baltimore Ravens Defense (DST_BAL),59957,153.69,199.9,0.0
