Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,D.Ogunbowale (RB) $5810,W.Dissly (TE) $4235,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Allen (QB) $10312,J.Jennings (WR) $8937,D.Douglas (WR) $6726,NYG Defense (DST) $4500,NO Kicker (K) $4500,59887,163.29,gpp
2,D.Ogunbowale (RB) $5810,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Allen (QB) $10312,J.Jennings (WR) $8937,K.Granson (TE) $4312,D.Douglas (WR) $6726,BAL Defense (DST) $4500,TB Kicker (K) $4500,59964,162.32,gpp
3,D.Prescott (QB) $10411,D.Ogunbowale (RB) $5810,W.Dissly (TE) $4235,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Jennings (WR) $8937,D.Douglas (WR) $6726,NYG Defense (DST) $4500,NYJ Kicker (K) $4500,59986,161.78,gpp
4,D.Ogunbowale (RB) $5810,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Allen (QB) $10312,J.Jennings (WR) $8937,K.Granson (TE) $4312,D.Douglas (WR) $6726,PHI Defense (DST) $4500,BUF Kicker (K) $4500,59964,161.4,gpp
5,D.Henry (RB) $9325,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Jennings (WR) $8937,S.Thompson (QB) $6715,T.McBride (TE) $4411,D.Douglas (WR) $6726,PHI Defense (DST) $4500,NO Kicker (K) $4500,59981,158.74,gpp
6,D.Prescott (QB) $10411,D.Ogunbowale (RB) $5810,W.Dissly (TE) $4235,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Jennings (WR) $8937,D.Douglas (WR) $6726,IND Defense (DST) $4500,LV Kicker (K) $4500,59986,161.25,gpp
7,D.Henry (RB) $9325,R.McCloud (WR) $5237,S.Barkley (RB) $9630,K.Murray (QB) $8311,J.Jennings (WR) $8937,K.Granson (TE) $4312,X.Worthy (WR) $5232,CAR Defense (DST) $4500,NYJ Kicker (K) $4500,59984,160.25,gpp
8,D.Henry (RB) $9325,R.McCloud (WR) $5237,S.Barkley (RB) $9630,K.Murray (QB) $8311,J.Jennings (WR) $8937,K.Granson (TE) $4312,X.Worthy (WR) $5232,IND Defense (DST) $4500,NYJ Kicker (K) $4500,59984,160.07,gpp
9,D.Ogunbowale (RB) $5810,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Allen (QB) $10312,J.Jennings (WR) $8937,K.Granson (TE) $4312,D.Douglas (WR) $6726,NYJ Defense (DST) $4500,SF Kicker (K) $4500,59964,160.16,gpp
10,D.Henry (RB) $9325,W.Dissly (TE) $4235,R.McCloud (WR) $5237,S.Barkley (RB) $9630,K.Murray (QB) $8311,J.Jennings (WR) $8937,X.Worthy (WR) $5232,HOU Defense (DST) $4500,NYG Kicker (K) $4500,59907,157.49,gpp
