QB,RB,RB,WR,WR,WR,TE,FLEX,D
Davis Mills,Ashton Jeanty,David Montgomery,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Houston Texans
Anthony Richardson Sr.,Ashton Jeanty,David Montgomery,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Houston Texans
Lamar Jackson,Ashton Jeanty,David Montgomery,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Houston Texans
Daniel Jones,Ashton Jeanty,David Montgomery,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Houston Texans
Davis Mills,Ashton Jeanty,Chris Rodriguez Jr.,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Houston Texans
Anthony Richardson Sr.,Ashton Jeanty,Chris Rodriguez Jr.,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Houston Texans
Andy Dalton,Ashton Jeanty,David Montgomery,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Houston Texans
Lamar Jackson,Ashton Jeanty,Chris Rodriguez Jr.,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Houston Texans
Daniel Jones,Ashton Jeanty,Chris Rodriguez Jr.,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Houston Texans
Davis Mills,Ashton Jeanty,Nick Chubb,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Houston Texans
