Lineup,QB,RB,WR,TE,DEF,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Kelce (00-0030506),Baltimore Ravens Defense (DST_BAL),59771,160.77,199.2,0.41
2,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),Baltimore Ravens Defense (DST_BAL),59849,160.13,199.5,0.28
3,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59630,159.83,198.8,0.28
4,J.Hurts (00-0036389),J.Gibbs (00-0039139),L.McCaffrey (00-0039355),I.Likely (00-0037838),Arizona Cardinals Defense (DST_ARI),59993,159.43,200.0,0.28
5,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Dotson (00-0037741),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59937,159.33,199.8,0.515
6,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Dotson (00-0037741),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59927,159.0,199.8,0.393
7,J.Hurts (00-0036389),J.Gibbs (00-0039139),X.Worthy (00-0039894),D.Knox (00-0035689),Arizona Cardinals Defense (DST_ARI),59969,158.4,199.9,0.515
8,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59896,158.33,199.7,0.28
9,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59886,158.0,199.6,0.28
10,J.Hurts (00-0036389),J.Gibbs (00-0039139),X.Worthy (00-0039894),B.Sinnott (00-0039912),Arizona Cardinals Defense (DST_ARI),59954,157.9,199.8,0.515
11,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),D.Schultz (00-0034383),Baltimore Ravens Defense (DST_BAL),59871,157.4,199.6,0.41
12,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59976,157.33,199.9,0.41
13,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),Baltimore Ravens Defense (DST_BAL),59816,157.3,199.4,0.41
14,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Metchie (00-0037614),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59993,157.18,200.0,0.41
15,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Metchie (00-0037614),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59884,157.13,199.6,0.28
16,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59597,157.0,198.7,0.41
17,J.Hurts (00-0036389),W.Shipley (00-0039746),X.Worthy (00-0039894),I.Likely (00-0037838),Arizona Cardinals Defense (DST_ARI),59915,156.8,199.7,0.41
18,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Metchie (00-0037614),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59874,156.8,199.6,0.41
19,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Kelce (00-0030506),Baltimore Ravens Defense (DST_BAL),59939,156.5,199.8,0.28
20,J.Hurts (00-0036389),W.Shipley (00-0039746),X.Worthy (00-0039894),I.Likely (00-0037838),Arizona Cardinals Defense (DST_ARI),59905,156.47,199.7,0.41
