Lineup,QB,RB,RB2,WR,WR2,WR3,TE,FLEX,D,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),N.Collins (00-0036554),J.Metchie (00-0037614),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),60000,159.0,200.0,0.28
2,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),A.Brown (00-0035676),N.Collins (00-0036554),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59885,158.87,199.6,0.41
3,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),N.Collins (00-0036554),J.Metchie (00-0037614),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59819,158.7,199.4,0.28
4,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),J.Watson (00-0034386),N.Collins (00-0036554),J.Williams (00-0037240),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59964,158.43,199.9,0.41
5,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),J.Williams (00-0037240),J.Metchie (00-0037614),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59955,158.43,199.8,0.28
6,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),N.Collins (00-0036554),K.Shakir (00-0037261),T.Kelce (00-0030506),,Atlanta Falcons Defense (DST_ATL),59965,158.42,199.9,0.41
7,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),N.Collins (00-0036554),J.Metchie (00-0037614),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59931,158.4,199.8,0.28
8,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),K.Shakir (00-0037261),J.Metchie (00-0037614),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59736,158.38,199.1,0.28
9,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),N.Collins (00-0036554),J.Dotson (00-0037741),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59975,157.43,199.9,0.515
10,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),K.Shakir (00-0037261),J.Metchie (00-0037614),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59617,157.28,198.7,0.28
11,M.Stafford (00-0026498),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),N.Collins (00-0036554),K.Shakir (00-0037261),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59971,156.91,199.9,0.45
12,J.Daniels (00-0039910),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),N.Collins (00-0036554),J.Metchie (00-0037614),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59978,156.9,199.9,0.28
13,J.Daniels (00-0039910),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),K.Shakir (00-0037261),J.Metchie (00-0037614),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59783,156.88,199.3,0.28
14,C.Stroud (00-0039163),S.Barkley (00-0034844),J.Gibbs (00-0039139),T.McLaurin (00-0035659),N.Collins (00-0036554),J.Williams (00-0037240),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59996,156.8,200.0,0.41
15,C.Stroud (00-0039163),S.Barkley (00-0034844),J.Gibbs (00-0039139),T.McLaurin (00-0035659),A.Brown (00-0035676),N.Collins (00-0036554),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59972,156.77,199.9,0.41
16,C.Stroud (00-0039163),S.Barkley (00-0034844),J.Gibbs (00-0039139),T.McLaurin (00-0035659),N.Collins (00-0036554),K.Shakir (00-0037261),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59777,156.75,199.3,0.41
17,J.Daniels (00-0039910),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),J.Williams (00-0037240),J.Metchie (00-0037614),Z.Ertz (00-0030061),,Atlanta Falcons Defense (DST_ATL),59952,156.43,199.8,0.28
18,C.Stroud (00-0039163),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),K.Shakir (00-0037261),X.Worthy (00-0039894),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59932,156.28,199.8,0.41
19,J.Hurts (00-0036389),J.Cook (00-0037248),J.Gibbs (00-0039139),A.Brown (00-0035676),N.Collins (00-0036554),K.Shakir (00-0037261),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59984,156.25,199.9,0.41
20,J.Hurts (00-0036389),J.Cook (00-0037248),J.Gibbs (00-0039139),N.Collins (00-0036554),J.Williams (00-0037240),K.Shakir (00-0037261),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59989,156.18,200.0,0.41
