Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,D.Henry (RB) $9325,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Jennings (WR) $8937,S.Thompson (QB) $6715,T.McBride (TE) $4411,D.Douglas (WR) $6726,LV Defense (DST) $4500,CHI Kicker (K) $4500,59981,164.33,gpp
2,D.Henry (RB) $9325,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Jennings (WR) $8937,S.Thompson (QB) $6715,T.McBride (TE) $4411,D.Douglas (WR) $6726,CIN Defense (DST) $4500,ARI Kicker (K) $4500,59981,162.91,gpp
3,D.Henry (RB) $9325,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Jennings (WR) $8937,S.Thompson (QB) $6715,T.McBride (TE) $4411,D.Douglas (WR) $6726,KC Defense (DST) $4500,LAC Kicker (K) $4500,59981,162.29,gpp
4,D.Ogunbowale (RB) $5810,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Allen (QB) $10312,J.Jennings (WR) $8937,K.Granson (TE) $4312,D.Douglas (WR) $6726,SEA Defense (DST) $4500,TEN Kicker (K) $4500,59964,164.39,gpp
5,D.Henry (RB) $9325,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Jennings (WR) $8937,S.Thompson (QB) $6715,T.McBride (TE) $4411,D.Douglas (WR) $6726,SF Defense (DST) $4500,SEA Kicker (K) $4500,59981,161.69,gpp
6,D.Henry (RB) $9325,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Jennings (WR) $8937,S.Thompson (QB) $6715,T.McBride (TE) $4411,D.Douglas (WR) $6726,IND Defense (DST) $4500,HOU Kicker (K) $4500,59981,161.62,gpp
7,D.Ogunbowale (RB) $5810,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Allen (QB) $10312,J.Jennings (WR) $8937,K.Granson (TE) $4312,D.Douglas (WR) $6726,NYG Defense (DST) $4500,SF Kicker (K) $4500,59964,163.8,gpp
8,D.Henry (RB) $9325,W.Dissly (TE) $4235,R.McCloud (WR) $5237,S.Barkley (RB) $9630,K.Murray (QB) $8311,J.Jennings (WR) $8937,X.Worthy (WR) $5232,MIN Defense (DST) $4500,CAR Kicker (K) $4500,59907,163.14,gpp
9,D.Henry (RB) $9325,R.McCloud (WR) $5237,S.Barkley (RB) $9630,K.Murray (QB) $8311,J.Jennings (WR) $8937,K.Granson (TE) $4312,X.Worthy (WR) $5232,BAL Defense (DST) $4500,HOU Kicker (K) $4500,59984,162.88,gpp
10,D.Ogunbowale (RB) $5810,W.Dissly (TE) $4235,R.McCloud (WR) $5237,S.Barkley (RB) $9630,K.Murray (QB) $8311,J.Jennings (WR) $8937,M.Nabers (WR) $8773,DAL Defense (DST) $4500,CLE Kicker (K) $4500,59933,160.48,gpp
11,D.Ogunbowale (RB) $5810,W.Dissly (TE) $4235,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Allen (QB) $10312,J.Jennings (WR) $8937,D.Douglas (WR) $6726,NO Defense (DST) $4500,DET Kicker (K) $4500,59887,162.05,gpp
12,D.Ogunbowale (RB) $5810,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Allen (QB) $10312,J.Jennings (WR) $8937,K.Granson (TE) $4312,D.Douglas (WR) $6726,CHI Defense (DST) $4500,NYG Kicker (K) $4500,59964,161.15,gpp
13,D.Ogunbowale (RB) $5810,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Allen (QB) $10312,J.Jennings (WR) $8937,K.Granson (TE) $4312,D.Douglas (WR) $6726,CHI Defense (DST) $4500,CIN Kicker (K) $4500,59964,160.83,gpp
14,D.Henry (RB) $9325,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Jennings (WR) $8937,S.Thompson (QB) $6715,T.McBride (TE) $4411,D.Douglas (WR) $6726,LAR Defense (DST) $4500,DET Kicker (K) $4500,59981,157.92,gpp
15,D.Ogunbowale (RB) $5810,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Allen (QB) $10312,J.Jennings (WR) $8937,K.Granson (TE) $4312,D.Douglas (WR) $6726,LV Defense (DST) $4500,KC Kicker (K) $4500,59964,159.65,gpp
16,D.Prescott (QB) $10411,D.Ogunbowale (RB) $5810,W.Dissly (TE) $4235,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Jennings (WR) $8937,D.Douglas (WR) $6726,KC Defense (DST) $4500,NYG Kicker (K) $4500,59986,159.79,gpp
17,D.Ogunbowale (RB) $5810,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Allen (QB) $10312,J.Jennings (WR) $8937,K.Granson (TE) $4312,D.Douglas (WR) $6726,ATL Defense (DST) $4500,CLE Kicker (K) $4500,59964,158.64,gpp
18,D.Henry (RB) $9325,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Jennings (WR) $8937,S.Thompson (QB) $6715,T.McBride (TE) $4411,D.Douglas (WR) $6726,ATL Defense (DST) $4500,MIA Kicker (K) $4500,59981,155.97,gpp
19,D.Ogunbowale (RB) $5810,R.McCloud (WR) $5237,S.Barkley (RB) $9630,J.Allen (QB) $10312,J.Jennings (WR) $8937,K.Granson (TE) $4312,D.Douglas (WR) $6726,SEA Defense (DST) $4500,IND Kicker (K) $4500,59964,158.22,gpp
20,D.Henry (RB) $9325,R.McCloud (WR) $5237,S.Barkley (RB) $9630,K.Murray (QB) $8311,J.Jennings (WR) $8937,K.Granson (TE) $4312,X.Worthy (WR) $5232,ARI Defense (DST) $4500,WSH Kicker (K) $4500,59984,157.4,gpp
