Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Baker Mayfield,De'Von Achane,J.K. Dobbins,Amon-Ra St. Brown,Garrett Wilson,Emeka Egbuka,David Martin-Robinson,Devontez Walker,Seattle Seahawks,60000,98.0,111.0
2,Cooper Rush,Jonathan Taylor,J.K. Dobbins,Jaxon Smith-Njigba,Courtland Sutton,Michael Pittman Jr.,Jake Ferguson,Tre Tucker,Denver Broncos,59900,89.7,118.0
3,Lamar Jackson,Jahmyr Gibbs,Ameer Abdullah,Garrett Wilson,Emeka Egbuka,George Pickens,Jake Ferguson,Darren Waller,Seattle Seahawks,60000,98.9,111.0
4,Justin Herbert,Javonte Williams,Kenneth Walker III,Jaxon Smith-Njigba,Emeka Egbuka,Quentin Johnston,Darren Waller,Tre Tucker,Houston Texans,59700,94.0,108.0
5,Cooper Rush,Jonathan Taylor,Javonte Williams,Amon-Ra St. Brown,George Pickens,Tre Tucker,Darren Waller,J.K. Dobbins,Houston Texans,60000,87.1,119.0
6,Daniel Jones,Jonathan Taylor,Bucky Irving,CeeDee Lamb,George Pickens,Malik Washington,David Martin-Robinson,Javonte Williams,Seattle Seahawks,60000,93.6,116.0
7,Baker Mayfield,Jonathan Taylor,J.K. Dobbins,Amon-Ra St. Brown,George Pickens,Keenan Allen,David Martin-Robinson,Tre Tucker,Carolina Panthers,59900,90.3,123.0
8,Dak Prescott,Jonathan Taylor,Jahmyr Gibbs,CeeDee Lamb,Emeka Egbuka,Cedrick Wilson Jr.,Juwan Johnson,Darren Waller,Tampa Bay Buccaneers,59600,88.9,116.0
9,Lamar Jackson,Javonte Williams,David Montgomery,Amon-Ra St. Brown,George Pickens,Michael Pittman Jr.,Darren Waller,Tre Tucker,Philadelphia Eagles,59800,87.7,105.0
10,Jalen Hurts,Bucky Irving,Javonte Williams,Amon-Ra St. Brown,Quentin Johnston,Michael Pittman Jr.,David Martin-Robinson,Tre Tucker,Seattle Seahawks,60000,79.2,115.0
