Home,Away,Total,SpreadFav,SpreadPts,HomeImplied,AwayImplied
Los Angeles Chargers,Kansas City Chiefs,46.5,Kansas City Chiefs,-3.0,21.8,24.8
New Orleans Saints,Arizona Cardinals,43.5,Arizona Cardinals,-6.5,18.5,25.0
Atlanta Falcons,Tampa Bay Buccaneers,46.5,Tampa Bay Buccaneers,-1.5,22.5,24.0
Jacksonville Jaguars,Carolina Panthers,46.5,Jacksonville Jaguars,-3.5,25.0,21.5
Cleveland Browns,Cincinnati Bengals,48.5,Cincinnati Bengals,-5.5,21.5,27.0
Indianapolis Colts,Miami Dolphins,47.5,Indianapolis Colts,-1.5,24.5,23.0
New England Patriots,Las Vegas Raiders,44.5,New England Patriots,-2.5,23.5,21.0
Washington Commanders,New York Giants,45.5,Washington Commanders,-5.5,25.5,20.0
New York Jets,Pittsburgh Steelers,38.5,Pittsburgh Steelers,-3.0,17.8,20.8
Denver Broncos,Tennessee Titans,42.5,Denver Broncos,-8.5,25.5,17.0
Seattle Seahawks,San Francisco 49ers,43.5,San Francisco 49ers,-1.5,21.0,22.5
Green Bay Packers,Detroit Lions,47.5,Green Bay Packers,-2.5,25.0,22.5
Los Angeles Rams,Houston Texans,43.5,Los Angeles Rams,-3.0,23.2,20.2
Buffalo Bills,Baltimore Ravens,50.5,Baltimore Ravens,-1.5,24.5,26.0
Chicago Bears,Minnesota Vikings,43.5,Minnesota Vikings,-1.5,21.0,22.5
Green Bay Packers,Washington Commanders,48.5,Green Bay Packers,-3.0,25.8,22.8
Baltimore Ravens,Cleveland Browns,44.5,Baltimore Ravens,-12.5,28.5,16.0
New York Jets,Buffalo Bills,44.5,Buffalo Bills,-8.5,18.0,26.5
Detroit Lions,Chicago Bears,48.5,Detroit Lions,-4.5,26.5,22.0
Cincinnati Bengals,Jacksonville Jaguars,49.5,Cincinnati Bengals,-5.5,27.5,22.0
Dallas Cowboys,New York Giants,44.5,Dallas Cowboys,-3.0,23.8,20.8
Tennessee Titans,Los Angeles Rams,45.5,Los Angeles Rams,-5.5,20.0,25.5
Miami Dolphins,New England Patriots,45.5,Miami Dolphins,-2.5,24.0,21.5
New Orleans Saints,San Francisco 49ers,44.5,San Francisco 49ers,-7.0,18.8,25.8
Pittsburgh Steelers,Seattle Seahawks,41.5,Pittsburgh Steelers,-2.5,22.0,19.5
Arizona Cardinals,Carolina Panthers,46.5,Arizona Cardinals,-4.5,25.5,21.0
Indianapolis Colts,Denver Broncos,44.5,Denver Broncos,-3.5,20.5,24.0
