Lineup,QB,RB,WR,TE,DST,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59913,159.8,199.7,0.28
2,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59913,159.8,199.7,0.28
3,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59913,159.8,199.7,0.28
4,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59913,159.8,199.7,0.28
5,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59913,159.8,199.7,0.28
6,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59913,159.8,199.7,0.28
7,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59913,159.8,199.7,0.28
8,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59913,159.8,199.7,0.28
9,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59913,159.8,199.7,0.28
10,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59913,159.8,199.7,0.28
